0	8.18535
0	-29	23
1	-7	-36
2	-45	20
3	3	36
4	35	-17
5	25	-25
6	-35	-43
7	21	19
8	40	-25
9	6	46
10	14	16
11	9	21
12	6	-33
13	50	27
14	-9	46
15	32	-12
16	38	-40
17	-27	21
18	30	2
19	41	-23
20	-20	-44
21	-8	-6
22	-19	22
23	49	4
24	19	-39
25	-45	49
26	-47	-33
27	-28	29
28	38	38
29	25	12
30	27	43
31	36	-14
32	16	16
33	40	32
34	-9	-1
35	7	30
36	-8	2
37	-41	46
38	-19	43
39	-41	-7
40	-30	-30
41	-10	-50
42	11	23
43	41	24
44	-43	41
45	-45	-14
46	-17	-7
47	-50	20
48	-4	43
49	-26	-12
50	1	-5
51	-39	4
52	-47	47
53	-17	-46
54	30	23
55	29	-45
56	-24	25
57	-17	50
58	41	23
59	-25	-25
60	43	5
61	22	42
62	-50	-35
63	35	-2
64	-5	9
65	-23	8
66	-45	41
67	0	36
68	24	22
69	-42	30
70	38	-34
71	16	8
72	29	20
73	-50	38
74	-26	-9
75	31	48
76	-9	42
77	10	-2
78	-21	30
79	-22	0
80	10	-35
81	-4	25
82	-15	26
83	31	28
84	-15	-15
85	-31	45
86	26	31
87	-2	13
88	34	-46
89	32	-47
90	30	-5
91	0	0
92	1	12
93	37	28
94	-23	45
95	31	-26
96	0	14
97	29	-39
98	-21	-17
99	-44	-3
100	19	0
101	-17	38
102	-34	-19
103	-27	11
104	-9	-28
105	-41	-16
106	-50	18
107	0	-28
108	-36	-1
109	-2	-24
110	-17	35
111	12	19
112	31	25
113	25	13
114	3	27
115	0	25
116	1	-28
117	-34	25
118	26	-24
119	-7	22
120	12	-1
121	-1	-28
122	12	-30
123	10	31
124	21	4
125	34	22
126	-25	3
127	-13	15
128	-25	-5
129	43	0
130	-41	-48
131	-33	37
132	42	45
133	2	-16
134	39	8
135	39	14
136	-13	-50
137	-45	-15
138	-39	-8
139	-2	-20
140	-20	8
141	43	8
142	21	-6
143	40	-20
144	-30	-24
145	-25	35
146	-27	-29
147	7	18
148	-18	-36
149	-28	18
150	38	-20
151	14	-50
152	-26	17
153	4	50
154	37	48
155	-41	-26
156	-23	49
157	16	-37
158	-32	49
159	14	38
160	-13	20
161	-43	-36
162	-30	-5
163	48	20
164	-12	15
165	-45	7
166	32	-27
167	41	47
168	-8	16
169	17	-6
170	-33	-18
171	-38	-24
172	-12	-46
173	23	47
174	39	-2
175	24	-25
176	14	-34
177	39	-12
178	-26	-6
179	33	12
180	-33	-11
181	30	20
182	-13	0
183	-43	-25
184	-9	-17
185	-26	45
186	-24	3
187	-2	-13
188	-24	37
189	-37	-20
190	-44	39
191	-5	13
192	-50	40
193	38	-27
194	-5	-12
195	-10	14
196	-16	48
197	-24	-17
198	-21	11
199	2	-11
200	-4	6
201	36	17
202	12	-3
203	-47	-10
204	34	-29
205	44	4
206	-13	3
207	47	4
208	-47	-45
209	-6	-3
210	22	-10
211	0	-16
212	-47	-31
213	16	-47
214	-25	23
215	34	22
216	50	14
217	2	24
218	-6	-17
219	32	-13
220	-40	-9
221	-42	-12
222	29	21
223	-24	32
224	33	-20
225	-3	45
226	-1	36
227	-22	-8
228	-27	-19
229	37	48
230	-41	-44
231	-8	23
232	33	0
233	-19	-34
234	-26	-17
235	-36	14
236	-1	21
237	16	-10
238	-30	-49
239	-5	5
240	24	-18
241	46	9
242	-41	28
243	-36	40
244	-25	9
245	-24	26
246	-18	-20
247	-34	-4
248	-25	-19
249	35	-12
250	42	22
251	-43	-4
252	1	34
253	-19	8
254	-19	-3
255	-35	39
256	32	10
257	33	33
258	12	-48
259	16	-35
260	-22	-24
261	-12	-47
262	-28	4
263	-50	-50
264	-22	41
265	34	17
266	23	-18
267	40	2
268	-22	41
269	31	-37
270	31	34
271	27	-44
272	39	36
273	32	-2
274	-42	-28
275	-4	21
276	-24	-2
277	-14	-19
278	21	33
279	17	-13
280	-20	31
281	-3	-21
282	10	-8
283	-27	34
284	-16	-26
285	-36	-33
286	-44	2
287	34	-16
288	10	17
289	30	-34
290	42	-30
291	21	-28
292	7	10
293	24	24
294	7	14
295	46	-14
296	5	-37
297	43	30
298	-21	44
299	41	20
300	-37	20
301	13	42
302	-48	-48
303	19	11
304	21	-25
305	-45	3
306	-19	-19
307	4	-39
308	-46	38
309	26	-1
310	21	23
311	8	-21
312	-48	-25
313	49	-47
314	-3	-31
315	2	-12
316	32	-47
317	-30	20
318	-36	-38
319	-10	20
320	31	-49
321	-28	12
322	-7	-28
323	32	-37
324	-11	28
325	15	48
326	5	-24
327	12	-18
328	8	-25
329	16	21
330	-41	10
331	24	-17
332	1	-50
333	49	-20
334	-16	-32
335	-30	21
336	46	41
337	19	-9
338	-15	-31
339	5	30
340	30	-17
341	43	2
342	-33	-5
343	4	-20
344	-1	33
345	2	24
346	-45	-8
347	26	-17
348	-6	-30
349	46	-17
350	-26	6
351	-33	-15
352	-22	-23
353	27	-12
354	2	-2
355	40	45
356	48	17
357	6	-45
358	-23	-17
359	43	18
360	-10	-28
361	7	-5
362	-28	-50
363	-5	7
364	-49	-24
365	-16	15
366	-4	-15
367	48	-13
368	-34	-45
369	9	-35
370	32	16
371	-19	1
372	-36	11
373	24	33
374	22	-41
375	5	-40
376	0	-36
377	-29	-1
378	0	-35
379	35	-2
380	4	-49
381	-39	-41
382	-17	9
383	8	-8
384	-14	-2
385	40	-37
386	-27	-25
387	45	0
388	-28	-1
389	30	-43
390	44	14
391	4	7
392	-21	16
393	16	-31
394	-17	-34
395	29	-19
396	-31	44
397	44	27
398	49	-5
399	10	43
